id,season,weather_condition,temperature,activity,mood,formality_level
520,invierno,frio,9.1,trabajo_oficina,romantico,2
521,otonio,viento,11.1,viaje,cansado,1
522,primavera,soleado,22.1,fiesta_nocturna,romantico,5
523,invierno,nieve,5.9,casual_paseo,relajado,3
524,verano,caluroso,35.7,senderismo,energico,1
525,invierno,nieve,-2.2,senderismo,cansado,1
526,verano,caluroso,34.4,trabajo_oficina,cansado,3
527,primavera,lluvia ligera,19.3,casual_paseo,creativo,1
528,verano,alta_humedad,24.2,cita_romantica,creativo,3
529,invierno,lluvioso,12.0,deporte,cansado,2
530,verano,soleado,31.0,gimnasio,cansado,2
531,invierno,frio,3.9,fiesta_nocturna,cansado,4
532,invierno,frio,2.1,viaje,creativo,1
533,otonio,viento,17.4,deporte,relajado,1
534,primavera,soleado,13.4,cita_romantica,energico,3
535,verano,caluroso,22.6,trabajo_oficina,formal,4
536,primavera,templado,23.1,casual_paseo,relajado,2
537,otonio,lluvia,18.1,gimnasio,cansado,2
538,otonio,fresco,21.1,evento_formal,relajado,3
539,otonio,viento,19.5,evento_formal,cansado,3
540,primavera,lluvia ligera,14.5,comida_cena,formal,3
541,invierno,nieve,6.5,deporte,energico,1
542,verano,soleado,26.7,cita_romantica,cansado,5
543,primavera,lluvia ligera,21.7,deporte,creativo,1
544,verano,alta_humedad,33.0,viaje,formal,2
545,primavera,templado,18.6,cita_romantica,relajado,4
546,verano,soleado,23.0,casual_paseo,formal,2
547,otonio,viento,10.5,relax_en_casa,creativo,2
548,invierno,nieve,6.3,comida_cena,relajado,2
549,primavera,soleado,21.6,comida_cena,creativo,4
550,invierno,frio,-1.5,relax_en_casa,creativo,1
551,otonio,viento,17.6,senderismo,relajado,2
552,primavera,templado,15.8,deporte,formal,2
553,otonio,lluvia,8.9,deporte,romantico,2
554,verano,alta_humedad,25.7,fiesta_nocturna,relajado,3
555,primavera,lluvia ligera,14.1,relax_en_casa,energico,1
556,verano,caluroso,33.1,relax_en_casa,relajado,1
557,otonio,fresco,15.2,senderismo,formal,2
558,verano,soleado,32.9,relax_en_casa,relajado,1
559,verano,soleado,25.8,gimnasio,relajado,2
560,primavera,templado,22.4,relax_en_casa,relajado,1
561,verano,alta_humedad,35.7,cita_romantica,formal,4
562,otonio,viento,8.8,fiesta_nocturna,relajado,3
563,invierno,nieve,5.8,comida_cena,energico,3
564,otonio,viento,11.6,comida_cena,energico,2
565,otonio,viento,18.4,fiesta_nocturna,cansado,3
566,otonio,viento,16.6,trabajo_oficina,romantico,4
567,verano,caluroso,25.2,gimnasio,formal,1
568,verano,soleado,24.7,gimnasio,relajado,1
569,verano,caluroso,23.4,evento_formal,energico,5
570,invierno,frio,1.7,casual_paseo,creativo,2
571,primavera,soleado,18.7,relax_en_casa,relajado,2
572,primavera,templado,14.9,comida_cena,creativo,3
573,primavera,lluvia ligera,12.7,gimnasio,formal,2
574,verano,caluroso,32.9,trabajo_oficina,romantico,4
575,verano,soleado,32.6,viaje,formal,3
576,otonio,fresco,13.3,senderismo,formal,1
577,invierno,lluvioso,10.4,relax_en_casa,relajado,1
578,otonio,viento,14.2,cita_romantica,energico,4
579,verano,caluroso,25.0,evento_formal,creativo,3
580,verano,alta_humedad,31.2,cita_romantica,cansado,5
581,primavera,lluvia ligera,17.7,trabajo_oficina,relajado,2
582,primavera,lluvia ligera,22.0,trabajo_oficina,energico,4
583,primavera,lluvia ligera,15.2,gimnasio,creativo,1
584,verano,caluroso,37.2,evento_formal,relajado,4
585,verano,caluroso,34.7,viaje,romantico,3
586,invierno,nieve,7.5,relax_en_casa,relajado,1
587,verano,alta_humedad,23.4,deporte,cansado,1
588,primavera,soleado,22.2,evento_formal,creativo,5
589,primavera,lluvia ligera,14.4,senderismo,romantico,2
590,primavera,templado,20.6,deporte,cansado,2
591,invierno,lluvioso,8.6,evento_formal,creativo,4
592,invierno,frio,-3.7,viaje,romantico,1
593,verano,caluroso,32.4,gimnasio,creativo,1
594,invierno,frio,1.2,relax_en_casa,energico,1
595,invierno,lluvioso,1.3,gimnasio,cansado,2
596,primavera,lluvia ligera,24.9,deporte,cansado,2
597,verano,caluroso,31.9,trabajo_oficina,relajado,2
598,invierno,nieve,2.9,fiesta_nocturna,energico,5
599,verano,alta_humedad,25.7,relax_en_casa,cansado,2
600,invierno,lluvioso,10.9,viaje,relajado,3
